
 ============================>     TALLY 1     <============================

 Mesh Index (1, 1, 1)
   Incoming Energy [0.0, 6.25000E-06)
       Y1,-1 Total Reaction Rate Moment     3.75282E-05    +/- 2.40080E-05
       Y1,0 Total Reaction Rate Moment      -5.26794E-04   +/- 3.19899E-06
       Y1,1 Total Reaction Rate Moment      -1.94263E-05   +/- 2.37856E-05
       Y2,-2 Total Reaction Rate Moment     -2.82191E-05   +/- 1.87795E-05
       Y2,-1 Total Reaction Rate Moment     -1.93905E-06   +/- 3.06979E-06
       Y2,0 Total Reaction Rate Moment      3.13068E-03    +/- 1.70723E-05
       Y2,1 Total Reaction Rate Moment      3.41200E-06    +/- 3.07480E-06
       Y2,2 Total Reaction Rate Moment      3.29524E-05    +/- 1.88449E-05
       Y3,-3 Total Reaction Rate Moment     -5.61457E-06   +/- 1.64192E-05
       Y3,-2 Total Reaction Rate Moment     -1.75420E-06   +/- 2.84244E-06
       Y3,-1 Total Reaction Rate Moment     -2.05894E-06   +/- 1.42773E-05
       Y3,0 Total Reaction Rate Moment      1.58557E-04    +/- 2.60185E-06
       Y3,1 Total Reaction Rate Moment      1.51672E-05    +/- 1.40196E-05
       Y3,2 Total Reaction Rate Moment      2.90398E-07    +/- 2.82366E-06
       Y3,3 Total Reaction Rate Moment      -7.83380E-06   +/- 1.63140E-05
   Incoming Energy [5.00000E-02, 20.0000)
     Total Material
       Y0,0 Flux Moment                     2.15419        +/- 1.65912E-04
       Y1,-1 Flux Moment                    1.46618E-04    +/- 8.02541E-05
       Y1,0 Flux Moment                     1.50156E-03    +/- 9.36046E-07
       Y1,1 Flux Moment                     -6.60549E-05   +/- 8.04162E-05
       Y2,-2 Flux Moment                    -1.36544E-06   +/- 5.89315E-05
       Y2,-1 Flux Moment                    -5.50118E-06   +/- 2.59983E-06
       Y2,0 Flux Moment                     -1.38205E-02   +/- 5.55088E-05
       Y2,1 Flux Moment                     -3.72774E-06   +/- 2.58598E-06
       Y2,2 Flux Moment                     -5.09760E-05   +/- 5.92275E-05
       Y3,-3 Flux Moment                    2.09018E-05    +/- 5.07086E-05
       Y3,-2 Flux Moment                    -2.64494E-07   +/- 2.71805E-06
       Y3,-1 Flux Moment                    2.70385E-05    +/- 4.54897E-05
       Y3,0 Flux Moment                     -8.61145E-04   +/- 2.10688E-06
       Y3,1 Flux Moment                     3.45449E-05    +/- 4.53765E-05
       Y3,2 Flux Moment                     3.65327E-06    +/- 2.70237E-06
       Y3,3 Flux Moment                     5.50241E-05    +/- 5.07833E-05
       Y0,0 Total Reaction Rate Moment      0.776098       +/- 6.05707E-05
       Y1,-1 Total Reaction Rate Moment     3.65807E-05    +/- 2.80155E-05
       Y1,0 Total Reaction Rate Moment      5.14403E-04    +/- 3.56659E-07
       Y1,1 Total Reaction Rate Moment      -2.89427E-05   +/- 2.79348E-05
       Y2,-2 Total Reaction Rate Moment     3.26053E-06    +/- 2.08940E-05
       Y2,-1 Total Reaction Rate Moment     -1.96042E-06   +/- 1.05491E-06
